597
70|IPE105|null|32|2.0|形势与政策|中文5班|思想政治教育与研究中心
70|IPE105|null|32|2.0|形势与政策|中文3班|思想政治教育与研究中心
70|IPE105|null|32|2.0|形势与政策|中文6班|思想政治教育与研究中心
70|IPE105|null|32|2.0|形势与政策|中文4班|思想政治教育与研究中心
70|IPE105|null|32|2.0|形势与政策|中文2班|思想政治教育与研究中心
70|IPE105|null|32|2.0|形势与政策|中文8班|思想政治教育与研究中心
50|ESS102|null|48|3.0|地质学原理|中英双语班|地球与空间科学系
50|OCE306|普通地质学|48|3.0|海洋地质学|中英双语|海洋科学与工程系
100|MA314|(概率论与数理统计 或者 数理统计 或者 数理统计)|48|3.0|抽样调查|中英双语班|数学系
45|MA201b|(高等数学（下） 或者 高等数学（下）A 或者 高等数学（下）B)|80|4.0|常微分方程B|中英双语班-习题1班|数学系
45|MA201b|(高等数学（下） 或者 高等数学（下）A 或者 高等数学（下）B)|80|4.0|常微分方程B|中英双语班-习题2班|数学系
60|MA201b|(高等数学（下） 或者 高等数学（下）A 或者 高等数学（下）B)|80|4.0|常微分方程B|英文班-习题3班|数学系
78|CH305-1|(分析化学 并且 分析化学实验)|32|2.0|仪器分析原理|中英双语班|化学系
60|MA322|(概率论与数理统计 或者 概率论)|48|3.0|寿险精算|中英双语班|数学系
50|ME308|机械制造基础|64|2.0|先进制造实践|中英双语班|机械与能源工程系
40|ESE304|(环境化学 并且 物理化学)|48|3.0|大气污染与防治|英文班|环境科学与工程学院
60|MSE330-16|null|48|3.0|金属材料粉末冶金及其3D打印|英文班|材料科学与工程系
48|OCE308|海洋生态系统导论|48|3.0|微生物海洋学|中英双语|海洋科学与工程系
30|BMEB322|生物医学工程实验（一）|96|3.0|生物医学工程实验（二）|中英双语|生物医学工程系
40|ESE310|(固体废弃物处理处置与资源化 并且 大气污染与防治)|32|1.0|环境科学与工程实验（二）|中文班|环境科学与工程学院
25|MED305|生理学与病理生理学 I|48|3.0|生理学与病理生理学II|中英双语班|医学院
80|MA224|(概率论与数理统计 或者 概率论)|48|3.0|金融数学基础|中英双语班|数学系
45|MAES001|null|48|2.0|精益六西格玛设计|英文班|力学与航空航天工程系
50|OCE304|(计算机程序设计基础B 或者 计算机程序设计基础A 或者 计算机编程基础 或者 计算机程序设计基础)|48|3.0|计算海洋学基础|中英双语|海洋科学与工程系
30|ME305|机械设计基础|64|2.0|创新设计实践|中英双语班|机械与能源工程系
50|OCE307|海洋生态系统导论|48|3.0|化学海洋学|中英双语|海洋科学与工程系
30|EE201-17L|(模拟电路 或者 模拟电路 或者 工程电路与电子基础)|32|1.0|模拟电路实验|英文班|电子与电气工程系
100|CH214|(无机化学I 或者 无机化学导论)|48|3.0|金属有机化学|英文班|化学系
90|EE202-17|(大学物理 B(下) 或者 大学物理A(下) 或者 大学物理A（下）)|48|3.0|数字电路|中文1班|电子与电气工程系
90|EE202-17|(大学物理 B(下) 或者 大学物理A(下) 或者 大学物理A（下）)|48|3.0|数字电路|中文2班|电子与电气工程系
120|PHY203-15|(高等数学（下）A 或者 高等数学（下） 或者 数学分析II) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A（下）) 并且 (线性代数I-A 或者 线性代数I)|64|4.0|数学物理方法|中文班|物理系
50|ESS312|(高等数学（上）A 或者 高等数学（上） 或者 数学分析I 或者 数学分析I) 并且 (线性代数I-A 或者 线性代数I)|64|4.0| 连续介质力学基础|中英双语班|地球与空间科学系
20|MAE403|(流体力学 或者 流体力学)|48|3.0|计算流体力学|英文班|力学与航空航天工程系
100|IPE103 |null|32|2.0|中国近现代史纲要|中文1班|思想政治教育与研究中心
100|IPE103 |null|32|2.0|中国近现代史纲要|中文4班|思想政治教育与研究中心
100|IPE103 |null|32|2.0|中国近现代史纲要|中文2班|思想政治教育与研究中心
